,Unnamed: 0,Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
6404,7353,Ioannis Andreou,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Swimming,"Swimming Men's 1,200 metres Freestyle",Silver
6511,7498,Nikolaos Andriakopoulos,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Rope Climbing,Gold
13620,15999,Edward Battel,M,23.0,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Cycling,"Cycling Men's Road Race, Individual",Bronze
19135,22952,Arthur Charles Blake,M,24.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Silver
19900,23914,Conrad Helmut Fritz Bcker,M,25.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
19902,23916,Conrad Helmut Fritz Bcker,M,25.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
20546,24682,John Mary Pius Boland,M,25.0,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,Gold
20547,24683,John Mary Pius Boland,M,25.0,Great Britain/Germany,GBR,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,Gold
26847,32333,"Thomas Edmund ""Tom"" Burke",M,21.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 100 metres,Gold
26848,32334,"Thomas Edmund ""Tom"" Burke",M,21.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,Gold
28255,33940,Eugne Henri Callot,M,20.0,France,FRA,1896 Summer,1896,Summer,Athina,Fencing,"Fencing Men's Foil, Individual",Silver
30472,36531,Demetrius Emmanuel Casdagli,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Singles,Silver
30473,36532,Demetrius Emmanuel Casdagli,M,23.0,Greece-1,GRE,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,Silver
35358,42249,Ellery Harding Clark,M,22.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's High Jump,Gold
35359,42250,Ellery Harding Clark,M,22.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Long Jump,Gold
36872,44062,James Brendan Bennet Connolly,M,27.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's High Jump,Silver
36873,44063,James Brendan Bennet Connolly,M,27.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Long Jump,Bronze
36874,44064,James Brendan Bennet Connolly,M,27.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Triple Jump,Gold
39825,47375,"Thomas Pelham ""Tom"" Curtis",M,23.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,Gold
40865,48644,Evangelos Damaskos,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Pole Vault,Bronze
41041,48857,Nndor Dni,M,24.0,Hungary,HUN,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 800 metres,Silver
48348,57520,Nikolaos Dorakis,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Military Pistol, 25 metres",Bronze
49370,58733,Dimitrios Drivas,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Swimming,Swimming Men's 100 metres Freestyle For Sailors,Bronze
52898,63069,Launceston Elliot,M,21.0,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Weightlifting,"Weightlifting Men's Unlimited, One Hand",Gold
52899,63070,Launceston Elliot,M,21.0,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Silver
58522,70080,"Edwin Harold ""Teddy"" Flack",M,22.0,Australia/Great Britain,AUS,1896 Summer,1896,Summer,Athina,Tennis,Tennis Men's Doubles,Bronze
58523,70081,"Edwin Harold ""Teddy"" Flack",M,22.0,Australia,AUS,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 800 metres,Gold
58524,70082,"Edwin Harold ""Teddy"" Flack",M,22.0,Australia,AUS,1896 Summer,1896,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Gold
58546,70115,Marie Lon Flameng,M,18.0,France,FRA,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's Sprint,Bronze
58548,70117,Marie Lon Flameng,M,18.0,France,FRA,1896 Summer,1896,Summer,Athina,Cycling,"Cycling Men's 10,000 metres",Silver
58549,70118,Marie Lon Flameng,M,18.0,France,FRA,1896 Summer,1896,Summer,Athina,Cycling,Cycling Men's 100 kilometres,Gold
58602,70196,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Parallel Bars,Gold
58603,70197,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
58604,70198,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
58605,70199,Alfred Flatow,M,26.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
58610,70204,Gustav Felix Flatow,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Parallel Bars, Teams",Gold
58612,70206,Gustav Felix Flatow,M,21.0,Germany,GER,1896 Summer,1896,Summer,Athina,Gymnastics,"Gymnastics Men's Horizontal Bar, Teams",Gold
60280,72212,Ioannis Frangoudis,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Free Pistol, 30 metres",Bronze
60282,72214,Ioannis Frangoudis,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Gold
60283,72215,Ioannis Frangoudis,M,23.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Silver
63946,76562,"Robert ""Bob"" Garrett",M,20.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's High Jump,Silver
63947,76563,"Robert ""Bob"" Garrett",M,20.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Long Jump,Silver
63948,76564,"Robert ""Bob"" Garrett",M,20.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Shot Put,Gold
63949,76565,"Robert ""Bob"" Garrett",M,20.0,United States,USA,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's Discus Throw,Gold
65000,77957,Ioannis Georgiadis,M,20.0,Greece,GRE,1896 Summer,1896,Summer,Athina,Fencing,"Fencing Men's Sabre, Individual",Gold
67029,80472,Charles Henry Stuart Gmelin,M,23.0,Great Britain,GBR,1896 Summer,1896,Summer,Athina,Athletics,Athletics Men's 400 metres,Bronze
